CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2016;Biología Molecular y Celular;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;25;38;83.33;29/04/2018
2016;Física y Tecnologías Físicas;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;7;14;23.33;29/04/2018
2016;Gestión del Patrimonio Cultural;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;35;21;62;60.00;29/04/2018
2016;Tec.Información Geográfica para Ordenación Territorio: Sig/Teled;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;25;45;100.00;29/04/2018
2016;Gerontología Social;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Máster;36;36;134;100.00;29/04/2018
2016;Relaciones de Género;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Máster;30;20;39;66.67;29/04/2018
2016;Contabilidad y finanzas;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;30;12;46;40.00;29/04/2018
2016;Economía;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;30;5;21;16.67;29/04/2018
2016;Iniciación a la investigación en Medicina;Zaragoza;Facultad de Medicina;Facultad;Máster;60;63;80;105.00;29/04/2018
2016;Ingeniería biomédica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;21;51;70.00;29/04/2018
2016;Dirección y planificación del turismo;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Máster;30;22;58;73.33;29/04/2018
2016;Materiales nanoestructurados para aplicaciones nanotecnológicas;Zaragoza;Facultad de Ciencias;Facultad;Máster;25;22;28;88.00;29/04/2018
2016;Traducción de textos especializados;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;10;25;40.00;29/04/2018
2016;Sociología de las Políticas Públicas y Sociales;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;30;11;28;36.67;29/04/2018
2016;Unión Europea;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;30;6;35;20.00;29/04/2018
2016;Aprendizaje a lo largo de la vida: Iniciación a la investigación;Zaragoza;Facultad de Educación;Facultad;Máster;40;21;75;52.50;29/04/2018
