CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2017;Teruel;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;4;1;0;;;05/01/2020
2017;Teruel;Grado: Administración y Dirección de Empresas;Grado;Graduado;Hombres;8;0;0;0;5.57;84.28;05/01/2020
2017;Teruel;Grado: Administración y Dirección de Empresas;Grado;Graduado;Mujeres;12;0;0;0;5.42;95.70;05/01/2020
2017;Teruel;Grado: Bellas Artes;Grado;Abandono Voluntario;Hombres;0;7;0;0;;;05/01/2020
2017;Teruel;Grado: Bellas Artes;Grado;Abandono Voluntario;Mujeres;0;7;2;0;;;05/01/2020
2017;Teruel;Grado: Bellas Artes;Grado;Graduado;Hombres;3;0;0;0;6.50;72.45;05/01/2020
2017;Teruel;Grado: Bellas Artes;Grado;Graduado;Mujeres;26;0;0;0;4.55;96.05;05/01/2020
2017;Teruel;Grado: Bellas Artes;Grado;Traslado a otra Universidad;Mujeres;0;0;0;1;;;05/01/2020
2017;Teruel;Grado: Enfermería;Grado;Abandono Voluntario;Hombres;0;1;0;0;;;05/01/2020
2017;Teruel;Grado: Enfermería;Grado;Abandono Voluntario;Mujeres;0;1;1;0;;;05/01/2020
2017;Teruel;Grado: Enfermería;Grado;Graduado;Hombres;4;0;0;0;4.33;86.75;05/01/2020
2017;Teruel;Grado: Enfermería;Grado;Graduado;Mujeres;12;0;0;0;4.10;98.84;05/01/2020
2017;Teruel;Grado: Enfermería;Grado;Traslado a otra Universidad;Mujeres;0;0;0;2;;;05/01/2020
2017;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Abandono Voluntario;Hombres;0;2;0;0;;;05/01/2020
2017;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;05/01/2020
2017;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;05/01/2020
2017;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Graduado;Hombres;14;0;0;0;5.50;85.98;05/01/2020
2017;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Graduado;Mujeres;3;0;0;0;5.33;84.56;05/01/2020
2017;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;05/01/2020
2017;Teruel;Grado: Ingeniería Informática;Grado;Abandono Voluntario;Hombres;0;6;2;0;;;05/01/2020
2017;Teruel;Grado: Ingeniería Informática;Grado;Cambio de estudios sin simultaneidad;Hombres;0;4;4;0;;;05/01/2020
2017;Teruel;Grado: Ingeniería Informática;Grado;Graduado;Hombres;6;0;0;0;6.00;79.50;05/01/2020
2017;Teruel;Grado: Ingeniería Informática;Grado;Traslado a otra Universidad;Hombres;0;0;0;3;;;05/01/2020
2017;Teruel;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Hombres;0;4;1;0;;;05/01/2020
